age,food
70,อาหารอ่อน ย่อยง่าย
2,นมแม่
64,อาหารอ่อน ย่อยง่าย
59,อาหารควบคุมสุขภาพ
45,อาหารควบคุมสุขภาพ
30,อาหารปกติ (วัยทำงาน)
88,โจ๊ก ผลไม้เนื้อนิ่ม
76,อาหารอ่อน ย่อยง่าย
1,นมแม่
14,อาหารทั่วไป (วัยเด็ก)
7,ข้าวต้ม
91,โจ๊ก ผลไม้เนื้อนิ่ม
29,อาหารปกติ (วัยทำงาน)
29,อาหารปกติ (วัยทำงาน)
26,อาหารปกติ (วัยทำงาน)
34,อาหารปกติ (วัยทำงาน)
55,อาหารควบคุมสุขภาพ
66,อาหารอ่อน ย่อยง่าย
7,ข้าวต้ม
41,อาหารควบคุมสุขภาพ
56,อาหารควบคุมสุขภาพ
86,โจ๊ก ผลไม้เนื้อนิ่ม
81,โจ๊ก ผลไม้เนื้อนิ่ม
55,อาหารควบคุมสุขภาพ
63,อาหารอ่อน ย่อยง่าย
86,โจ๊ก ผลไม้เนื้อนิ่ม
53,อาหารควบคุมสุขภาพ
52,อาหารควบคุมสุขภาพ
31,อาหารปกติ (วัยทำงาน)
29,อาหารปกติ (วัยทำงาน)
87,โจ๊ก ผลไม้เนื้อนิ่ม
43,อาหารควบคุมสุขภาพ
21,อาหารปกติ (วัยทำงาน)
98,โจ๊ก ผลไม้เนื้อนิ่ม
92,โจ๊ก ผลไม้เนื้อนิ่ม
82,โจ๊ก ผลไม้เนื้อนิ่ม
10,ข้าวต้ม
64,อาหารอ่อน ย่อยง่าย
2,นมแม่
57,อาหารควบคุมสุขภาพ
12,อาหารทั่วไป (วัยเด็ก)
87,โจ๊ก ผลไม้เนื้อนิ่ม
49,อาหารควบคุมสุขภาพ
23,อาหารปกติ (วัยทำงาน)
55,อาหารควบคุมสุขภาพ
35,อาหารปกติ (วัยทำงาน)
79,อาหารอ่อน ย่อยง่าย
96,โจ๊ก ผลไม้เนื้อนิ่ม
23,อาหารปกติ (วัยทำงาน)
47,อาหารควบคุมสุขภาพ
73,อาหารอ่อน ย่อยง่าย
18,อาหารทั่วไป (วัยเด็ก)
4,ข้าวบดละเอียด
6,ข้าวต้ม
69,อาหารอ่อน ย่อยง่าย
50,อาหารควบคุมสุขภาพ
24,อาหารปกติ (วัยทำงาน)
90,โจ๊ก ผลไม้เนื้อนิ่ม
